epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9165,0.93629,3.23268,1.29587,0.00122,0.28656,0.15903,0.0864,0.95507,3.98347,1.43202,0.000360324,0.000360324,0.000360324
2,48.9449,0.99754,2.00365,1.29136,0.90732,0.14575,0.27201,0.16729,1.16594,3.37983,1.9128,0.00073064,0.00073064,0.00073064
3,72.2488,0.98434,1.76104,1.2855,0.58965,0.30832,0.26212,0.17531,1.06821,2.68427,1.5439,0.00110088,0.00110088,0.00110088
4,95.4288,0.98107,1.56758,1.28601,0.67965,0.26368,0.27427,0.17097,1.4466,1.97379,1.73678,0.00111075,0.00111075,0.00111075
5,118.44,0.98293,1.35414,1.29348,0.5562,0.37377,0.32775,0.19663,1.35623,1.9858,1.79646,0.00111056,0.00111056,0.00111056
6,141.595,0.95037,1.22215,1.26434,0.86577,0.45341,0.52477,0.38982,0.90575,1.19798,1.36124,0.00111031,0.00111031,0.00111031
7,164.849,0.91786,1.13466,1.23307,0.73129,0.5654,0.55025,0.40747,0.87212,1.13226,1.30032,0.00111001,0.00111001,0.00111001
8,187.793,0.8911,1.05054,1.22746,0.65275,0.50917,0.4993,0.35515,0.93586,1.20329,1.35365,0.00110966,0.00110966,0.00110966
9,210.835,0.90362,1.01434,1.23703,0.77992,0.59094,0.58999,0.44012,0.87334,1.03451,1.30607,0.00110925,0.00110925,0.00110925
10,233.915,0.88427,0.99715,1.2202,0.8306,0.52499,0.58637,0.43772,0.88418,0.99555,1.30139,0.00110878,0.00110878,0.00110878
11,256.819,0.85653,0.93633,1.20371,0.8065,0.58329,0.61118,0.43738,0.93296,0.95271,1.35696,0.00110826,0.00110826,0.00110826
12,279.875,0.84799,0.92305,1.21157,0.69969,0.60046,0.58312,0.44025,0.86301,0.98831,1.30609,0.00110769,0.00110769,0.00110769
13,302.936,0.85638,0.90547,1.21379,0.74371,0.48111,0.53555,0.39629,0.8455,1.22345,1.27475,0.00110706,0.00110706,0.00110706
14,325.96,0.8452,0.8745,1.20322,0.83116,0.54087,0.57902,0.44259,0.80954,1.00285,1.25024,0.00110637,0.00110637,0.00110637
15,348.871,0.86284,0.84887,1.23251,0.79674,0.53521,0.58725,0.44389,0.86135,0.99299,1.28278,0.00110564,0.00110564,0.00110564
16,371.967,0.8397,0.81826,1.22852,0.85073,0.54911,0.60084,0.44854,0.82976,0.89846,1.2695,0.00110484,0.00110484,0.00110484
17,394.841,0.93171,0.88176,1.32433,0.78774,0.55421,0.57529,0.43533,0.86532,0.94195,1.26482,0.001104,0.001104,0.001104
18,417.834,0.79633,0.81353,1.1815,0.81819,0.58449,0.62458,0.47434,0.78983,0.81075,1.23703,0.0011031,0.0011031,0.0011031
19,440.909,0.8409,0.7984,1.19462,0.74496,0.52679,0.5548,0.41665,0.84822,1.28074,1.2427,0.00110214,0.00110214,0.00110214
20,463.942,0.78692,0.78458,1.15918,0.84707,0.54454,0.58912,0.45496,0.79316,1.00851,1.24154,0.00110114,0.00110114,0.00110114
21,486.829,0.78316,0.78149,1.1618,0.81705,0.56298,0.59658,0.45713,0.81554,0.92186,1.23939,0.00110007,0.00110007,0.00110007
22,509.726,0.79791,0.76674,1.16602,0.7674,0.59227,0.59076,0.44645,0.84189,0.95757,1.28864,0.00109896,0.00109896,0.00109896
23,532.858,0.76248,0.71832,1.16117,0.80406,0.51425,0.55672,0.4271,0.812,1.01582,1.23583,0.00109779,0.00109779,0.00109779
24,556.036,0.78775,0.74071,1.17334,0.84521,0.52598,0.59618,0.43622,0.87952,0.95947,1.27595,0.00109657,0.00109657,0.00109657
25,578.958,0.79249,0.72034,1.18041,0.82776,0.57363,0.60876,0.47188,0.81854,0.84184,1.23301,0.00109529,0.00109529,0.00109529
26,602.06,0.76871,0.71973,1.15848,0.82827,0.63582,0.6521,0.49785,0.7851,0.79264,1.2366,0.00109396,0.00109396,0.00109396
27,625.145,0.78391,0.71768,1.17047,0.78538,0.56848,0.64537,0.48644,0.83369,0.9273,1.2701,0.00109258,0.00109258,0.00109258
28,648.315,0.77891,0.69671,1.18144,0.86309,0.58435,0.62785,0.48627,0.7705,0.83516,1.2134,0.00109115,0.00109115,0.00109115
29,671.369,0.74587,0.68461,1.15127,0.82898,0.62277,0.65902,0.521,0.73413,0.82938,1.18714,0.00108966,0.00108966,0.00108966
30,694.595,0.7482,0.69778,1.14664,0.84891,0.55174,0.61149,0.45868,0.80655,0.86884,1.29495,0.00108812,0.00108812,0.00108812
31,717.464,0.76601,0.67612,1.15048,0.86069,0.61112,0.64477,0.49546,0.79277,0.81954,1.24821,0.00108653,0.00108653,0.00108653
32,740.386,0.75246,0.72471,1.1418,0.79512,0.59873,0.61766,0.47388,0.81588,0.9067,1.26405,0.00108489,0.00108489,0.00108489
33,763.432,0.72505,0.67859,1.1406,0.85656,0.56222,0.61331,0.47794,0.77645,0.86541,1.22377,0.00108319,0.00108319,0.00108319
34,786.511,0.72154,0.70416,1.12509,0.88461,0.58186,0.6383,0.47831,0.77828,0.80377,1.20843,0.00108144,0.00108144,0.00108144
35,809.635,0.76989,0.71607,1.16437,0.81975,0.58641,0.63426,0.49252,0.75442,0.86647,1.21926,0.00107964,0.00107964,0.00107964
36,832.512,0.75246,0.68562,1.15974,0.79735,0.61929,0.63108,0.47982,0.83337,0.78155,1.24347,0.00107779,0.00107779,0.00107779
37,855.501,0.73491,0.64651,1.12671,0.82105,0.60474,0.63155,0.47813,0.76301,0.85116,1.20505,0.00107589,0.00107589,0.00107589
38,878.575,0.69801,0.62909,1.12205,0.86383,0.57353,0.65494,0.51501,0.75587,0.81101,1.21242,0.00107394,0.00107394,0.00107394
39,901.531,0.73686,0.64509,1.15287,0.80764,0.59284,0.61343,0.48126,0.7551,0.84227,1.20921,0.00107194,0.00107194,0.00107194
40,924.615,0.71069,0.65334,1.12271,0.78181,0.6257,0.60389,0.48055,0.76558,0.81734,1.18704,0.00106988,0.00106988,0.00106988
41,947.688,0.70229,0.63564,1.12695,0.80798,0.59175,0.60446,0.45929,0.76985,0.9021,1.23373,0.00106778,0.00106778,0.00106778
42,971.054,0.72329,0.63927,1.1361,0.85873,0.56023,0.62475,0.48875,0.711,1.03509,1.17529,0.00106562,0.00106562,0.00106562
43,993.917,0.73757,0.65262,1.14869,0.83498,0.55811,0.60895,0.46847,0.76935,0.85168,1.22516,0.00106342,0.00106342,0.00106342
44,1017.01,0.71529,0.63897,1.13913,0.84335,0.60397,0.64585,0.50916,0.74369,0.75566,1.19314,0.00106116,0.00106116,0.00106116
45,1039.93,0.72315,0.64954,1.13238,0.86828,0.5885,0.62871,0.49895,0.74152,0.79866,1.18712,0.00105886,0.00105886,0.00105886
46,1062.98,0.71102,0.6478,1.13986,0.80715,0.63359,0.64934,0.50791,0.7536,0.72915,1.21672,0.00105651,0.00105651,0.00105651
47,1085.91,0.69758,0.64596,1.1356,0.82211,0.62976,0.66952,0.52971,0.70141,0.73167,1.19895,0.00105411,0.00105411,0.00105411
48,1109,0.69834,0.62618,1.1226,0.81809,0.6031,0.63515,0.49206,0.73403,0.79625,1.19704,0.00105166,0.00105166,0.00105166
49,1132.26,0.71017,0.62066,1.11511,0.89329,0.5826,0.64594,0.51474,0.7125,0.74824,1.16805,0.00104916,0.00104916,0.00104916
50,1155.22,0.68254,0.69153,1.13328,0.61215,0.71284,0.65721,0.5217,0.7094,0.70195,1.18357,0.00104661,0.00104661,0.00104661
51,1178.2,0.66893,0.5874,1.10052,0.87582,0.58446,0.66445,0.52521,0.71825,0.71335,1.17146,0.00104402,0.00104402,0.00104402
52,1201.17,0.69728,0.6126,1.12467,0.86923,0.59479,0.63387,0.49803,0.73643,0.8127,1.19258,0.00104138,0.00104138,0.00104138
53,1224.17,0.67043,0.61136,1.10818,0.77311,0.62602,0.63254,0.48749,0.74723,0.78319,1.23324,0.00103869,0.00103869,0.00103869
54,1247.23,0.713,0.59454,1.13686,0.82156,0.58598,0.62815,0.49976,0.71644,0.78645,1.19433,0.00103595,0.00103595,0.00103595
55,1270.18,0.66654,0.58362,1.11382,0.58541,0.70645,0.66105,0.52549,0.70214,0.67552,1.21675,0.00103317,0.00103317,0.00103317
56,1293.35,0.67574,0.57694,1.1099,0.8457,0.61753,0.6459,0.511,0.73519,0.70682,1.20376,0.00103034,0.00103034,0.00103034
57,1316.17,0.67804,0.58444,1.09814,0.82742,0.62016,0.64552,0.49845,0.74982,0.82271,1.20388,0.00102747,0.00102747,0.00102747
58,1339.27,0.65525,0.56744,1.09438,0.87144,0.61597,0.65263,0.51264,0.72942,0.73519,1.21143,0.00102455,0.00102455,0.00102455
59,1362.29,0.69378,0.5876,1.13354,0.87085,0.62531,0.65305,0.51731,0.75009,0.73248,1.20778,0.00102158,0.00102158,0.00102158
60,1385.13,0.64979,0.58024,1.10429,0.85808,0.62814,0.65017,0.52804,0.7249,0.64886,1.19274,0.00101857,0.00101857,0.00101857
61,1408.05,0.65677,0.55017,1.1139,0.88353,0.61078,0.65756,0.52185,0.71162,0.7462,1.18884,0.00101552,0.00101552,0.00101552
62,1431.14,0.67382,0.56496,1.10353,0.80964,0.64588,0.64306,0.49535,0.7498,0.71808,1.23757,0.00101242,0.00101242,0.00101242
63,1454.32,0.67074,0.5678,1.11563,0.85176,0.61019,0.64568,0.50371,0.72871,0.65394,1.2075,0.00100928,0.00100928,0.00100928
64,1477.23,0.6596,0.54606,1.11754,0.85355,0.61223,0.64931,0.52889,0.70805,0.68167,1.19482,0.00100609,0.00100609,0.00100609
